EAN;DESCRIPCION;UM BULTO
648260489991;MIEL CREMOSA ORGANICA MONTECITOS X 500 GRS        ;12
648260490188;MIEL CREMOSA MONTECITOS X 500 GRS                 ;3
648260490201;MIEL CREMOSA MONTECITOS X 300 GRS                 ;12
650240035401;JABON TOCADOR CARBON DETOX ASEPXIA X 100 GRS      ;20
650240051623;AGUA MICELAR SUAVIZANTE TEATRICAL X 600 CC        ;12
650240051647;AGUA MICELAR HUMECTANTE TEATRICAL X 600 CC        ;12
650240069352;SHAMPOO ANTICASPA PROPOLEO TIO NACHO X 415 CC     ;12
656750725528;FIBRA PARA COCINA CERO RAYA GLOW X 2 UNI          ;96
656750725535;FIBRA PARA PARRILLA GLOW X 1 UNI                  ;96
656750783924;PASTA DE MANI STEVIA ENTRENUTS FRASCO X 370 GR    ;3
664697110826;YERBA MATE SECADERO X 500 GRS                     ;10
717226013041;SHAMPOO COLOUR PROTECT JOHN FRIEDA X 250 CC       ;6
720665924458;ALFAJOR DE MANI FELICES LAS VACAS X 60 GRS        ;48
724373569895;YERBA MATE SALAM X 500 GRS                        ;10
724373747088;GRANOLA PEANUT BUTTER NATURAL CANDY DP X 200 GRS  ;20
724751009876;GIN HEREDERO BOT X 700 CC                         ;12
726367920217;ALMENDRAS Y SEMILLAS C CHOCO NATURAL CANDY X100GR ;20
726367920231;GRANOLA CHOCOLATE NATURAL CANDY DOYPACK X 100 GRS ;20
732535898721;COCONUT CHOCOLATE NATURAL CANDY DOYPACK X 100 GRS ;20
735051016372;KETCHUP HEINZ DOY PACK X 397 GRS                  ;24
736684208707;PASTA DE MANI ENTRENUTS FRASCO X 370 GR           ;6
736684208714;PASTA DE MANI CACAO ENTRENUTS FRASCO X 370 GR     ;3
736684208721;PASTA DE MANI COCO ENTRENUTS FRASCO X370GR        ;3
736684208738;PASTA DE MANI CROCANTE ENTRENUTS FRASCO X 370 GR  ;3
742832490238;VINO BLANCO SAVIGNON BLANC SOMBRERO BOT X 750 CC  ;6
742832994613;VINO TINTO MALBEC ZORRO SALVAJE D UCO BOT X 750 CC;6
742832994620;VINO TINTO CAB SAUV ZORRO SALVAJE D UCO BOT 750 CC;6
742832994637;VINO TINTO MALBEC GRAN SOMBRERO BOT X 750 CC      ;6
754697468703;PALA GLOW DE PIE                                  ;3
754697468802;ESPONJA SCUTUM BANO GLOW X 1 UNI                  ;72
754697468833;ESPONJA CHOW CLASICA GLOW X 1 UNI                 ;72
754697468918;ESCOBA GLOW EXTERIOR MAX UNUX                     ;3
754697468987;ESCOBILLON GLOW EXTERIOR SIRRAH                   ;3
757037513552;QUITAMANCHAS GEL STICK OXI CLEAN X 175 GRS        ;12
758647560523;FELPUDO COCO Y GOMA SEMICIRCULAR 40X60CM SURTIDO  ;3
758890938056;LIMPIAVIDRIOS GLOW ALPHA                          ;3
763571673904;PEPAS DE MEMBRILLO FELICES LAS VACAS X 300 GRS    ;12
763571806012;GIN PINK HEREDERO BOT X 700 CC                    ;12
790757845541;ESPONJA DE ACERO GLOW 10 GR X1                    ;3
790757845688;LANA DE ACERO GLOW X10 UDS                        ;3
810044130461;PACK ESPONJA SCRUB DADDY ORIGINAL X 4 UNI         ;3
810044130522;PACK ESPONJA SCRUB MOMMY ORIGINAL X 4 UNI         ;3
810044130744;ESPONJA SCRUB DADDY SCRUB MOMMY FLOR X 1 UNI      ;3
810044130782;MICROFIBRA SCRUB DADDY X 2 UNI                    ;3
810044130997;ESPONJA SCRUB DADDY DISH DADDY CON DISPENS D JABON;3
810044131000;REPUESTO SCRUB DADDY DISH DADDY X 2 UNI           ;3
810044131031;PACK ESPONJA SCRUB MOMMY FLOWERS X 3 UNI          ;3
810044131130;ESPONJA SCRUB DADDY DAMP DUSTER GRIS X 1 UNI      ;3
810044133943;PANO SCRUB DADDY DAMP DUSTER TOWEL X 2 UNI        ;3
840325045672;VASO CRISTAR ALTO MIKONOS 460 CC                  ;10
858797007159;ESPONJA SCRUB DADDY SPONGE DADDY X 3 UNI          ;3
858797007340;ESPONJA SCRUB DADDY ERASER DADDY X 2 UNI          ;3
858797007739;ESPONJA SCRUB DADDY STYLE X 1 UNI                 ;3
859547004008;ESPONJA SCRUB DADDY ORIGINAL X 1 UNI              ;3
859547004466;ESPONJA SCRUB DADDY SCRUB MOMMY PINK X 1 UNI      ;3
859547004503;PACK ESPONJA SCRUB MOMMY COLOURS X 3 UNI          ;3
859547004640;MINI PANO SCRUB DADDY SCREEN DA P PANTALLA X 3 UNI;3
859547004701;SOPORTE SCRUB DADDY DADDY CADDY X 1 UNI P ESPONJAS;3
883314177503;JARRA TIVOLI CON TAPA 1.6 LT                      ;10
2623807000004;TARJETA DE REGALO PLAYSTATION $ 26.000            ;1000
2627257000003;FRANELA CARREFOUR ESPECIAL                        ;3
2627259000001;PANO CARREFOUR RAYADO ESPECIAL                    ;3
2627272000002;REJILLA CARREFOUR AMERICANA LIVIANA ESPECIAL      ;3
2627275000009;REJILLA ESPONJA CARREFOUR ESPECIAL                ;3
2627525000001;TRAPO DE PISO CARREFOUR BLANCO ESPECIAL           ;3
2627565000009;TRAPO DE PISO CARREFOUR GRIS ESPECIAL             ;3
2671985000002;TARJETA DE REGALO XBOX 1 MES $ 11.800             ;1000
2671986000001;TARJETA DE REGALO XBOX 3 MESES $ 35.200           ;1000
2683560000000;TARJETA DE REGALO PLAYSTATION $ 41.500            ;1000
2683978000005;Pollo Congelado (Cajón de 20kg) - Sólo disponible para retiro en tienda;1
2695706000003;BOLSA DE RESIDUOS BULNEZ 45X60CM PLANA X10        ;120
2695709000000;BOLSA DE RESIDUOS BULNEZ 50X70CM PLANA X10        ;120
2695730000000;BOLSA DE RESIDUOS BULNEZ 50X70CM PLANA X10 VERDE  ;120
2695740000007;BOLSA DE RESIDUOS BULNEZ 60X90CM PLANA VERDE X10  ;40
2695890000001;BOLSA DE RESIDUOS BULNEZ 60X90CM PLANA X10        ;40
3012997653104;BRANDY NAPOLEON BARDINET X 700 CC                 ;12
3014260019723;CEPILLO DENTAL KIDS DISNEY ORAL B X 1 UNI         ;36
3014260273910;ESPUMA DE AFEITAR MENTOL GILLETTE X 312 GRS       ;12
3014260279165;CREMA DENTAL STAGES DISNEY ORAL B X 75 GRS        ;12
3046920028004;TABLETA CHOCO C CACAO LINDT EXCELLENCE X 100 GRS  ;20
3046920028363;TABLETA CHOCO EXTRA CACAO LINDT EXCELLENCE X 100 G;20
3059946160139;DETERGENTE TABLETAS FINISH DP X 30 UNI            ;6
3086123549982;MAQUINA DE AFEITAR SOLEIL CLIC BIC X 6 UNI        ;36
3086123549999;MAQUINA DE AFEITAR FLEX 3 HYBRID BIC X 5 UNI      ;36
3168430332546;CACEROLA TEFAL SUPERCOOK 18 CM                    ;3
3168430332591;SARTEN TEFAL SUPERCOOK 24 CM                      ;3
3168430332638;WOK TEFAL SUPERCOOK 28 CM                         ;3
3168430332645;SARTEN TEFAL SUPERCOOK 30 CM                      ;3
3168430336674;PANQUEQUERA TEFAL SUPERCOOK 25 CM                 ;3
3608144249575;BOLSAS PARA DECORAR REPOSTERIA GSA25 X 6 UNI      ;10
3610883050077;MANGA PARA DECORAR REPOSTERIA CON 7 PICOS GSA25   ;10
3613866352649;SET CARREFOUR PERCHAS DE MADERA X3                ;3
3614225108709;COLOR PERM T 20 NEGRO KOLESTON X 1 UNI            ;12
3614225108716;COLOR PERM 28 NEGRO AZULADO KOLESTON X 1 UNI      ;12
3614225108723;COLOR PERM T 30 CASTANO OSC KOLESTON X 1UNI       ;12
3614225108747;COLOR PERM T 40 CASTANO MED KOLESTON X 1UNI       ;12
3614225108761;COLOR PERM KIT N466 ROJO ARDIENTE KOLESTON X 1UNI ;12
